oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,42397.6,187,37838,4559.6,180.5,187.8,NaN,NaN,NaN,
Волинська,4804.3,167.3,4663.9,140.4,93.3,171.4,NaN,NaN,NaN,
Дніпропетровська,15277.6,206,7494,7783.6,198.7,214.2,NaN,NaN,NaN,
Донецька,2473.2,137.6,785.1,1688.1,130.1,157.1,NaN,NaN,NaN,
Житомирська,23077.7,176.6,21935.1,1142.6,100.2,183.9,NaN,NaN,NaN,
Закарпатська,2330.2,121.2,771,1559.2,112.2,144.7,NaN,NaN,NaN,
Запорізька,2757.5,168.2,2382.1,375.4,179.4,166.6,NaN,NaN,NaN,
Івано-Франківська,5590,160.5,4467.7,1122.3,103.8,185.9,NaN,NaN,NaN,
Київська,30490.4,175.2,29480.6,1009.8,139.9,176.7,NaN,NaN,NaN,
Кіровоградська,22637.8,216.2,17683.8,4954,176.9,230.5,NaN,NaN,NaN,
Луганська,1547.7,83.7,932.2,615.5,86.8,81.7,NaN,NaN,NaN,
Львівська,6292.3,185.3,5929.2,363.1,92.9,197.3,NaN,NaN,NaN,
Миколаївська,5954.1,188,2905.7,3048.4,160.1,230.2,NaN,NaN,NaN,
Одеська,8238.7,220.8,5303.8,2934.9,173.4,260.1,NaN,NaN,NaN,
Полтавська,40361.2,111.4,34501.2,5860,114.6,110.9,NaN,NaN,NaN,
Рівненська,7824.3,166.8,7474.8,349.5,104.2,171.7,NaN,NaN,NaN,
Сумська,29270.6,80.8,28143.2,1127.4,95.5,80.3,NaN,NaN,NaN,
Тернопільська,15310.1,153,14313.6,996.5,91.6,160.5,NaN,NaN,NaN,
Харківська,14843.3,105.4,10427.7,4415.6,101.7,107,NaN,NaN,NaN,
Херсонська,5097.3,138,3890.5,1206.8,114.6,147.3,NaN,NaN,NaN,
Хмельницька,29949.5,129.4,28481.8,1467.7,101.1,131.3,NaN,NaN,NaN,
Черкаська,32639.1,214.9,29308.9,3330.2,156.3,224.4,NaN,NaN,NaN,
Чернівецька,4491.3,134.5,1332.1,3159.2,108.7,307.3,NaN,NaN,NaN,
Чернігівська,44537.9,113.9,43353.7,1184.2,150.8,113.1,NaN,NaN,NaN,
