oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,151.1,298.5,101.1,50,162.5,509.8,0,0,NaN,
Волинська,738.6,104.4,390.6,348,94,115.8,0,0,NaN,
Дніпропетровська,68.9,107.7,47.9,21,106.4,108.3,0,0,NaN,
Донецька,86.1,91.2,75.6,10.5,69.8,95.2,0,0,NaN,
Житомирська,890.3,135.5,645.2,245.1,90.3,167.2,0,0,NaN,
Закарпатська,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,
Запорізька,53.4,263.2,33.1,20.3,199.6,327.1,0,0,NaN,
Івано-Франківська,47.5,98.8,NaN,NaN,NaN,NaN,0,0,NaN,
Київська,638.4,169.1,547.7,90.7,92.6,195.9,0,0,NaN,
Кіровоградська,116.3,279.5,110.3,6,130.6,298.1,0,0,NaN,
Луганська,77.7,101.8,57.4,20.3,221.1,85.5,0,0,NaN,
Львівська,202,108.9,108.7,93.3,91.1,130.8,0,0,NaN,
Миколаївська,22,548.1,17.8,4.2,127.8,2373.7,0,0,NaN,
Одеська,51.2,641.3,48.7,2.5,84.7,964.1,0,0,NaN,
Полтавська,259,184.2,216.3,42.7,105.7,215.8,0,0,NaN,
Рівненська,632.5,108.5,295.6,336.9,99.2,121.5,0,0,NaN,
Сумська,333.5,130.9,316.8,16.7,126.3,131.2,0,0,NaN,
Тернопільська,66.2,130,66.2,NaN,NaN,130,0,0,NaN,
Харківська,75.6,54.7,44.3,31.3,146,38,0,0,NaN,
Херсонська,51.5,95.5,23.5,28,71.8,157.2,0,0,NaN,
Хмельницька,168.7,124,136.3,32.4,101.5,130.8,0,0,NaN,
Черкаська,62.9,125.3,35.5,27.4,128.5,122.8,0,0,NaN,
Чернівецька,25.5,86.9,NaN,NaN,NaN,NaN,0,0,NaN,
Чернігівська,1342.3,148,1308.7,33.6,77.8,151.5,0,0,NaN,
