oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,115.2,121.4,63.1,52.1,105.2,139.2,0,NaN,NaN,
Волинська,22.3,138.7,14.5,7.8,102.2,171.7,0,NaN,NaN,
Дніпропетровська,6.5,169,4.7,1.8,126.2,194.3,0,NaN,NaN,
Донецька,44.9,282.9,4.4,40.5,311.3,153.1,0,NaN,NaN,
Житомирська,241.3,131.4,62.3,179,158.2,88.4,0,NaN,NaN,
Закарпатська,5,318,5,NaN,NaN,318,0,NaN,NaN,
Запорізька,1.7,240.7,1.7,NaN,NaN,240.7,0,NaN,NaN,
Івано-Франківська,10.8,125.9,NaN,NaN,NaN,NaN,0,NaN,NaN,
Київська,84.1,127.8,69.1,15,129.2,127.5,0,NaN,NaN,
Кіровоградська,16.6,136.3,14.2,2.4,113,141.1,0,NaN,NaN,
Луганська,1.2,55.4,0.9,0.3,77.7,49.7,0,NaN,NaN,
Львівська,37.2,113.4,33.8,3.4,95.2,115.7,0,NaN,NaN,
Миколаївська,31.9,153.6,5.6,26.3,142.5,241.7,0,NaN,NaN,
Одеська,8.9,474.4,8.2,0.7,154.5,568.3,0,NaN,NaN,
Полтавська,19.5,74.7,13.4,6.1,92,68.8,0,NaN,NaN,
Рівненська,44.8,121.6,13.2,31.6,105,194.8,0,NaN,NaN,
Сумська,87.1,67.2,46.6,40.5,74,62.2,0,NaN,NaN,
Тернопільська,72.9,94.3,44.2,28.7,91.8,96.1,0,NaN,NaN,
Харківська,59.4,85.9,17.2,42.2,98.8,65.1,0,NaN,NaN,
Херсонська,3.5,67.1,2,1.5,58.2,75.7,0,NaN,NaN,
Хмельницька,162.8,96.6,99.3,63.5,84.4,106.3,0,NaN,NaN,
Черкаська,15.2,133.5,11.9,3.3,98.9,147.6,0,NaN,NaN,
Чернівецька,1.2,123.3,NaN,NaN,NaN,NaN,0,NaN,NaN,
Чернігівська,39.5,73.6,37.5,2,65.9,74,0,NaN,NaN,
