oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,2668.8,125.4,1080.4,1588.4,129.4,120,NaN,NaN,NaN,
Волинська,742.5,88.4,163.2,579.3,96.9,67.5,NaN,NaN,NaN,
Дніпропетровська,3949.1,96.4,714.6,3234.5,97.4,92,NaN,NaN,NaN,
Донецька,3069.6,101,1249,1820.6,99.5,103.4,NaN,NaN,NaN,
Житомирська,797,101.4,396.3,400.7,100.2,102.5,NaN,NaN,NaN,
Закарпатська,27.2,124.2,3.1,24.1,125.5,114.9,NaN,NaN,NaN,
Запорізька,3202.2,100.4,884.7,2317.5,112.1,78.8,NaN,NaN,NaN,
Івано-Франківська,676.9,123.8,217.1,459.8,100.3,244.8,NaN,NaN,NaN,
Київська,2484.5,110.9,1194.5,1290,107.6,114.8,NaN,NaN,NaN,
Кіровоградська,1748.9,126.6,609,1139.9,128.8,122.6,NaN,NaN,NaN,
Луганська,928.3,106.3,473.3,455,100.6,112.3,NaN,NaN,NaN,
Львівська,580.5,103.2,218.4,362.1,93.1,125.7,NaN,NaN,NaN,
Миколаївська,2412.8,114.7,422.3,1990.5,126.6,79.7,NaN,NaN,NaN,
Одеська,2067.5,258.7,858.3,1209.2,254.7,264.6,NaN,NaN,NaN,
Полтавська,2838.3,102.9,800.3,2038,104.9,98.2,NaN,NaN,NaN,
Рівненська,1531.1,99.2,315.9,1215.2,102.7,87.8,NaN,NaN,NaN,
Сумська,1169.3,75.9,469.8,699.5,97.1,57.3,NaN,NaN,NaN,
Тернопільська,2927.3,92.1,1309,1618.3,98.1,85.6,NaN,NaN,NaN,
Харківська,4441.1,87.3,1554,2887.1,92.3,79.3,NaN,NaN,NaN,
Херсонська,3112.4,122.9,870.4,2242,132.9,103.1,NaN,NaN,NaN,
Хмельницька,2711.4,104.3,1547.3,1164.1,120.1,94.9,NaN,NaN,NaN,
Черкаська,1624.3,107.4,940.1,684.2,109.9,105.6,NaN,NaN,NaN,
Чернівецька,464.6,136.2,78.5,386.1,136,137.1,NaN,NaN,NaN,
Чернігівська,804.9,74.2,733.5,71.4,109.9,72,NaN,NaN,NaN,
