oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
0030,11177.1,105.2,678736,60.7,129.1,136.1,NaN,NaN,NaN,
0040,5388,109.7,261123.3,48.5,119.5,130.8,NaN,NaN,NaN,
0050,5259.7,109.5,255318.1,48.5,119.5,130.8,NaN,NaN,NaN,
0080,128.3,121,5805.2,45.2,110.5,133.7,NaN,NaN,NaN,
0110,3888.7,101,343799.7,88.4,141.7,143.1,NaN,NaN,NaN,
0120,1314.1,107.2,57181.8,43.5,121.2,130,NaN,NaN,NaN,
0130,875.6,117.1,40078.8,45.8,130.1,152.2,NaN,NaN,NaN,
0140,438.5,91.7,17103,39,105.7,97,NaN,NaN,NaN,
0160,116.5,144,4647.7,40,103.1,148.2,NaN,NaN,NaN,
0210,54.7,79.3,1636.7,29.9,101.7,80.6,NaN,NaN,NaN,
0220,50.3,112.6,579.2,11.6,91.3,102.9,NaN,NaN,NaN,
0240,59.3,46.1,1492.2,25.2,148.2,68.3,NaN,NaN,NaN,
0250,9.3,89.4,515.1,55.3,99.1,88.7,NaN,NaN,NaN,
0270,257.1,99.7,6030.5,23.5,114.1,113.5,NaN,NaN,NaN,
0320,221.1,102.4,5390.9,24.3,115.7,118.3,NaN,NaN,NaN,
0410,1088.1,95.7,30470,28,128.4,123.1,NaN,NaN,NaN,
0480,990.6,90.8,29285.8,29.6,126,114.4,NaN,NaN,NaN,
0490,959,90.1,28542.5,29.8,126.8,114.1,NaN,NaN,NaN,
0500,31.6,119.9,743.3,23.6,107.8,129.2,NaN,NaN,NaN,
0520,5418.8,102.4,142289.8,26.3,120.6,123.6,NaN,NaN,NaN,
0750,198.8,106.5,93356.7,469.5,113.4,120.7,NaN,NaN,NaN,
1250,16.5,97,4306.9,255.8,113.8,110.4,NaN,NaN,NaN,
1320,NaN,NaN,13690.2,NaN,NaN,92.9,NaN,NaN,NaN,
1321,32.8,94.5,12910.5,393.1,98.2,92.7,NaN,NaN,NaN,
1322,NaN,NaN,779.7,NaN,NaN,95.6,NaN,NaN,NaN,
2180,0.1,96,81.8,399,130.3,125,NaN,NaN,NaN,
2230,174.9,79.7,55817.2,319.2,128.1,102.1,NaN,NaN,NaN,
7260,NaN,NaN,3405.2,NaN,NaN,120.3,NaN,NaN,NaN,
3200,NaN,NaN,3266.4,NaN,NaN,120,NaN,NaN,NaN,
3480,NaN,NaN,138.8,NaN,NaN,129.7,NaN,NaN,NaN,
3770,NaN,NaN,729.4,NaN,NaN,83.5,NaN,NaN,NaN,
