oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,4942.1,117.2,28.9,4913.2,117.8,61.5,0,NaN,NaN,
Волинська,2783.7,100.5,185.8,2597.9,100.2,104.1,0,NaN,NaN,
Дніпропетровська,7224.8,116.4,786.9,6437.9,122.1,84.4,0,NaN,NaN,
Донецька,2756.1,117.9,58.4,2697.7,119.4,74.8,0,NaN,NaN,
Житомирська,3650.8,92.5,63.9,3586.9,92.7,81.7,0,NaN,NaN,
Закарпатська,2459.2,100.9,NaN,NaN,NaN,NaN,0,NaN,NaN,
Запорізька,1860.2,106.8,168.1,1692.1,109.4,86.1,0,NaN,NaN,
Івано-Франківська,1864.9,103.6,29.6,1835.3,103.3,127.1,0,NaN,NaN,
Київська,6639.9,124.2,293.1,6346.8,125.9,96.3,0,NaN,NaN,
Кіровоградська,2574.4,101.5,50.1,2524.3,102.2,74.8,0,NaN,NaN,
Луганська,1521,108.6,NaN,1521,108.6,NaN,0,NaN,NaN,
Львівська,8386.5,105.6,421.1,7965.4,103.7,162.5,0,NaN,NaN,
Миколаївська,6149.6,110.2,4142.7,2006.9,115.8,107.6,0,NaN,NaN,
Одеська,2348,99.2,363.1,1984.9,102.2,85.6,0,NaN,NaN,
Полтавська,5596.4,100.7,33.2,5563.2,100.9,75.4,0,NaN,NaN,
Рівненська,2571.2,99.1,67.1,2504.1,99.5,87.1,0,NaN,NaN,
Сумська,2060.7,101.7,3.2,2057.5,101.8,70.4,0,NaN,NaN,
Тернопільська,2404.5,102.2,127,2277.5,99.9,174.2,0,NaN,NaN,
Харківська,5015,98.2,153.3,4861.7,98.7,84,0,NaN,NaN,
Херсонська,11166.2,89.6,4975.8,6190.4,97,81.8,0,NaN,NaN,
Хмельницька,2186.2,99.2,83.3,2102.9,100.5,74.6,0,NaN,NaN,
Черкаська,3611.6,101.6,845.8,2765.8,102.6,98.5,0,NaN,NaN,
Чернівецька,2510.7,101.1,NaN,NaN,NaN,NaN,0,NaN,NaN,
Чернігівська,1881.7,87.1,12.5,1869.2,87.9,37.1,0,NaN,NaN,
