oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,4544,125,2604.8,1939.2,134.5,118.8,NaN,NaN,NaN,
Волинська,1119.5,94.9,490,629.5,97.5,91.7,NaN,NaN,NaN,
Дніпропетровська,8217.6,106.5,4336.7,3880.9,95.8,118.5,NaN,NaN,NaN,
Донецька,3571.2,102,1734.6,1836.6,99.1,105.4,NaN,NaN,NaN,
Житомирська,1273.3,109.8,733.8,539.5,100.9,117.3,NaN,NaN,NaN,
Закарпатська,56.6,86.2,9.3,47.3,86,87.3,NaN,NaN,NaN,
Запорізька,6785.8,115.3,4298.7,2487.1,112.8,116.7,NaN,NaN,NaN,
Івано-Франківська,1132.7,89.6,553.7,579,100.2,80.7,NaN,NaN,NaN,
Київська,2915,112.6,1602.6,1312.4,107.7,116.9,NaN,NaN,NaN,
Кіровоградська,5542.2,138.5,3760.6,1781.6,130.2,142.8,NaN,NaN,NaN,
Луганська,1084.1,88.9,602.7,481.4,103.7,79.8,NaN,NaN,NaN,
Львівська,1820.7,100.5,1330.6,490.1,96.5,102,NaN,NaN,NaN,
Миколаївська,11583.9,138.2,7409.4,4174.5,119.3,151.9,NaN,NaN,NaN,
Одеська,15602.3,285.4,11076.2,4526.1,190.4,358.4,NaN,NaN,NaN,
Полтавська,3337.7,106.1,1267,2070.7,104.7,108.5,NaN,NaN,NaN,
Рівненська,1791,102.6,467.5,1323.5,103.1,101.1,NaN,NaN,NaN,
Сумська,1343.3,80,641.2,702.1,97.1,67.1,NaN,NaN,NaN,
Тернопільська,3855.1,86.8,2013.6,1841.5,99.4,77.8,NaN,NaN,NaN,
Харківська,5097.7,87.5,2208.1,2889.6,92.1,82.1,NaN,NaN,NaN,
Херсонська,8434.7,129,5273.4,3161.3,132.7,126.8,NaN,NaN,NaN,
Хмельницька,3358.7,102.5,2066,1292.7,120.7,93.6,NaN,NaN,NaN,
Черкаська,2387.4,122.9,1644.8,742.6,111.7,128.7,NaN,NaN,NaN,
Чернівецька,717.7,101.4,239,478.7,121,76.6,NaN,NaN,NaN,
Чернігівська,890.1,77.5,817.5,72.6,108.8,75.5,NaN,NaN,NaN,
