oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,2478,168.2,2251.2,226.8,127.8,173.7,0,NaN,NaN,
Волинська,986.8,110.7,960.4,26.4,98.8,111,0,NaN,NaN,
Дніпропетровська,96.3,366.3,88.9,7.4,157.3,412.1,0,NaN,NaN,
Донецька,15.3,202.4,11.6,3.7,240,192.7,0,NaN,NaN,
Житомирська,2962.6,125.7,2844,118.6,84.2,128.3,0,NaN,NaN,
Закарпатська,252.6,55,252.6,NaN,NaN,55,0,NaN,NaN,
Запорізька,400.5,121.2,400.5,NaN,NaN,121.2,0,NaN,NaN,
Івано-Франківська,1180,118.3,1165.2,14.8,106.1,118.4,0,NaN,NaN,
Київська,2252.3,170.3,1881.7,370.6,137.6,178.6,0,NaN,NaN,
Кіровоградська,1443.8,203.3,789.3,654.5,170.2,242.4,0,NaN,NaN,
Луганська,0.7,63.2,0.7,NaN,NaN,63.2,0,NaN,NaN,
Львівська,2541.1,115.1,2541.1,NaN,NaN,115.1,0,NaN,NaN,
Миколаївська,106.5,157.9,35.7,70.8,183.3,123.8,0,NaN,NaN,
Одеська,134.3,181.1,132.5,1.8,161.8,181.3,0,NaN,NaN,
Полтавська,2440.3,109.6,2012.7,427.6,105.7,110.5,0,NaN,NaN,
Рівненська,1348.4,77.7,1313,35.4,107.3,77.1,0,NaN,NaN,
Сумська,1473.2,90.4,1439.7,33.5,87.4,90.5,0,NaN,NaN,
Тернопільська,2378.4,118.1,2305.3,73.1,109.9,118.3,0,NaN,NaN,
Харківська,401.4,100.8,376.6,24.8,100.3,100.9,0,NaN,NaN,
Херсонська,2672.3,117.5,2521.3,151,107.8,118.1,0,NaN,NaN,
Хмельницька,4095.2,124.9,3838.7,256.5,120.1,125.2,0,NaN,NaN,
Черкаська,1992.5,215.6,1511.9,480.6,143.1,256.9,0,NaN,NaN,
Чернівецька,1557.4,135.4,913.9,643.5,119.2,149.7,0,NaN,NaN,
Чернігівська,883.5,83.7,881.5,2,69.1,83.8,0,NaN,NaN,
