oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,1875.2,124.5,1524.4,350.8,163.9,118,NaN,NaN,NaN,
Волинська,377,110.9,326.8,50.2,105.5,111.8,NaN,NaN,NaN,
Дніпропетровська,4268.5,118.1,3622.1,646.4,88.4,125.6,NaN,NaN,NaN,
Донецька,501.6,108.5,485.6,16,67.7,110.7,NaN,NaN,NaN,
Житомирська,476.3,127.4,337.5,138.8,103,141.2,NaN,NaN,NaN,
Закарпатська,29.4,67.2,6.2,23.2,64.9,77.9,NaN,NaN,NaN,
Запорізька,3583.6,132.8,3414,169.6,123.6,133.3,NaN,NaN,NaN,
Івано-Франківська,455.8,63.5,336.6,119.2,99.6,56.3,NaN,NaN,NaN,
Київська,430.5,123.4,408.1,22.4,117.3,123.8,NaN,NaN,NaN,
Кіровоградська,3793.3,144.8,3151.6,641.7,132.9,147.5,NaN,NaN,NaN,
Луганська,155.8,45,129.4,26.4,217.9,38.7,NaN,NaN,NaN,
Львівська,1240.2,99.3,1112.2,128,107.4,98.4,NaN,NaN,NaN,
Миколаївська,9171.1,146.1,6987.1,2184,113.3,160.6,NaN,NaN,NaN,
Одеська,13534.8,289.9,10217.9,3316.9,174.4,369.4,NaN,NaN,NaN,
Полтавська,499.4,129.1,466.7,32.7,95.9,132.3,NaN,NaN,NaN,
Рівненська,259.9,128,151.6,108.3,107.7,147.9,NaN,NaN,NaN,
Сумська,174,125.8,171.4,2.6,105.8,126.1,NaN,NaN,NaN,
Тернопільська,927.8,73.5,704.6,223.2,109.2,66.6,NaN,NaN,NaN,
Харківська,656.6,88.8,654.1,2.5,28.5,89.6,NaN,NaN,NaN,
Херсонська,5322.3,132.8,4403,919.3,132.3,132.9,NaN,NaN,NaN,
Хмельницька,647.3,95.5,518.7,128.6,125.7,90.2,NaN,NaN,NaN,
Черкаська,763.1,177.5,704.7,58.4,136.9,182,NaN,NaN,NaN,
Чернівецька,253.1,69.1,160.5,92.6,83,63,NaN,NaN,NaN,
Чернігівська,85.2,131.5,84,1.2,68.9,133.2,NaN,NaN,NaN,
