oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,550.9,152.1,404.9,146,179.1,144.3,NaN,NaN,NaN,
Волинська,503.2,116.4,337.2,166,100.5,126.2,NaN,NaN,NaN,
Дніпропетровська,97.1,93.9,74.3,22.8,91.7,94.5,NaN,NaN,NaN,
Донецька,53.7,112.8,26.5,27.2,127.2,101,NaN,NaN,NaN,
Житомирська,1056.7,182.9,934.2,122.5,75.9,224.4,NaN,NaN,NaN,
Закарпатська,16,175,9,7,77.2,15742.3,NaN,NaN,NaN,
Запорізька,84.1,83.6,66.2,17.9,81.8,84.1,NaN,NaN,NaN,
Івано-Франківська,253.9,72.1,101.8,152.1,100.3,50.7,NaN,NaN,NaN,
Київська,680.5,125.9,581.5,99,117.1,127.5,NaN,NaN,NaN,
Кіровоградська,91.8,84.6,67.4,24.4,115.1,77.2,NaN,NaN,NaN,
Луганська,40.2,51.7,32,8.2,98.8,46.1,NaN,NaN,NaN,
Львівська,882.6,103.4,477.7,404.9,91.9,115.5,NaN,NaN,NaN,
Миколаївська,127.4,91,81.9,45.5,188,70.7,NaN,NaN,NaN,
Одеська,175.1,201.2,93.6,81.5,186.8,215.7,NaN,NaN,NaN,
Полтавська,121.3,87.8,60,61.3,91.7,84.1,NaN,NaN,NaN,
Рівненська,282.4,113.6,187.6,94.8,113.6,113.7,NaN,NaN,NaN,
Сумська,299.6,102.8,240.7,58.9,102.8,102.8,NaN,NaN,NaN,
Тернопільська,890.6,135.8,599.8,290.8,98.8,165.9,NaN,NaN,NaN,
Харківська,396.8,145.1,295.1,101.7,141.4,146.4,NaN,NaN,NaN,
Херсонська,38.9,63.2,28,10.9,74.9,59.6,NaN,NaN,NaN,
Хмельницька,433.4,157.6,359.3,74.1,145.6,160.3,NaN,NaN,NaN,
Черкаська,231.9,93.9,197.8,34.1,96.8,93.4,NaN,NaN,NaN,
Чернівецька,95.5,231.4,50.7,44.8,161.7,373.8,NaN,NaN,NaN,
Чернігівська,509,173.1,498,11,70.8,178.9,NaN,NaN,NaN,
