oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,35,138.6,21.6,13.4,138.4,138.7,0,NaN,NaN,
Волинська,956.6,98.6,113.9,842.7,101.8,80,0,NaN,NaN,
Дніпропетровська,60.7,214.7,40.9,19.8,145.9,278,0,NaN,NaN,
Донецька,86.9,103.2,54.6,32.3,151.3,86.8,0,NaN,NaN,
Житомирська,775.4,79.2,249.5,525.9,87,66.5,0,NaN,NaN,
Закарпатська,41.5,98,NaN,NaN,NaN,NaN,0,NaN,NaN,
Запорізька,21.5,132.5,21.5,NaN,NaN,132.5,0,NaN,NaN,
Івано-Франківська,121.3,97.3,5.6,115.7,100.7,57,0,NaN,NaN,
Київська,207.9,86,127.3,80.6,93.3,81.9,0,NaN,NaN,
Кіровоградська,13.2,139.8,11.3,1.9,105.6,147.7,0,NaN,NaN,
Луганська,90.2,150.9,72.1,18.1,108.5,167.3,0,NaN,NaN,
Львівська,366.2,103.4,41.2,325,103.5,102.4,0,NaN,NaN,
Миколаївська,32.5,117.9,5.9,26.6,124.1,96.5,0,NaN,NaN,
Одеська,51.7,244.8,41.2,10.5,238.8,246.4,0,NaN,NaN,
Полтавська,60.3,70.5,37.7,22.6,77.4,66.9,0,NaN,NaN,
Рівненська,554.5,100,47.5,507,101.2,88.9,0,NaN,NaN,
Сумська,308.9,67.4,191,117.9,81.8,60.8,0,NaN,NaN,
Тернопільська,163.4,107.6,37.8,125.6,115.5,87.7,0,NaN,NaN,
Харківська,173.2,89.1,67.4,105.8,124.1,61.8,0,NaN,NaN,
Херсонська,51.8,105.6,5,46.8,103.2,134.5,0,NaN,NaN,
Хмельницька,164.8,107,43.5,121.3,111.2,96.7,0,NaN,NaN,
Черкаська,30.9,97.8,23.9,7,133.6,90.7,0,NaN,NaN,
Чернівецька,17.4,80.7,NaN,NaN,NaN,NaN,0,NaN,NaN,
Чернігівська,562.1,84.7,375.1,187,97.7,79.5,0,NaN,NaN,
