oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,225.2,111.5,155.7,69.5,101.2,116.9,0,NaN,NaN,
Волинська,50,82.7,33,17,97.6,76.7,0,NaN,NaN,
Дніпропетровська,417.9,109,352.7,65.2,120.4,107.1,0,NaN,NaN,
Донецька,437.2,98.8,416.2,21,93.2,99.1,0,NaN,NaN,
Житомирська,123.2,51.3,96,27.2,95.3,45.4,0,NaN,NaN,
Закарпатська,21.4,69.3,NaN,NaN,NaN,NaN,0,NaN,NaN,
Запорізька,1394.3,113.6,1335.1,59.2,99,114.4,0,NaN,NaN,
Івано-Франківська,112.6,95.8,8.7,103.9,102,55.6,0,NaN,NaN,
Київська,161.4,120.7,143.7,17.7,128.5,119.8,0,NaN,NaN,
Кіровоградська,470.8,129.5,438.5,32.3,135.5,129.1,0,NaN,NaN,
Луганська,68.6,111.1,64,4.6,95.6,112.4,0,NaN,NaN,
Львівська,68.3,108.2,29.9,38.4,119.6,96.4,0,NaN,NaN,
Миколаївська,574.7,173.7,501.4,73.3,204.6,170,0,NaN,NaN,
Одеська,489.4,185.6,449.1,40.3,118.1,195.6,0,NaN,NaN,
Полтавська,250.8,117.9,232.2,18.6,112.9,118.3,0,NaN,NaN,
Рівненська,23.3,61.7,6.3,17,100.7,30.1,0,NaN,NaN,
Сумська,161,90.2,148.1,12.9,99.3,89.5,0,NaN,NaN,
Тернопільська,224.6,71,173.7,50.9,85.1,67.7,0,NaN,NaN,
Харківська,603.8,105.4,497.9,105.9,110.6,104.3,0,NaN,NaN,
Херсонська,365.3,140.7,345.1,20.2,98.7,144.3,0,NaN,NaN,
Хмельницька,348.2,140.7,254.2,94,106.8,159.4,0,NaN,NaN,
Черкаська,217.5,96.7,192,25.5,101,96.1,0,NaN,NaN,
Чернівецька,28,102,NaN,NaN,NaN,NaN,0,NaN,NaN,
Чернігівська,179.4,87.1,154.9,24.5,136.1,82.4,0,NaN,NaN,
