oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
0030,4203.2,101.6,166967.6,39.7,122.2,124,0,0,NaN,
0040,1667.5,103.9,66073.4,39.6,119.6,124.2,0,0,NaN,
0050,1610.1,104.2,63966,39.7,119.9,124.9,0,0,NaN,
0080,57.4,96.6,2107.4,36.8,110.2,106.6,0,0,NaN,
0110,1083.6,100.8,54394,50.2,133.9,134.9,0,0,NaN,
0120,1149.9,100.4,39280.5,34.2,114,114.3,0,0,NaN,
0130,256.7,100.2,9403,36.6,130.2,130.4,0,0,NaN,
0140,893.2,100.4,29877.5,33.4,109.5,110.1,0,0,NaN,
0160,55.1,100.2,1513.5,27.5,97.5,98.1,0,0,NaN,
0210,122.6,94.4,3311.2,27,105.9,99.8,0,0,NaN,
0220,37.5,99.8,554.3,14.8,116.5,116.3,0,0,NaN,
0240,22.5,86.1,564.9,25.1,170.7,147.3,0,0,NaN,
0250,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,
0270,53.4,101.4,986.4,18.4,108.9,110.5,0,0,NaN,
0320,18.1,104.6,428.4,24.1,114.2,119.7,0,0,NaN,
0410,183.4,100.1,3623.4,19.8,126.9,126.8,0,0,NaN,
0480,13.4,95.8,315,23.8,119.6,114.7,0,0,NaN,
0490,12.8,95.8,300.5,23.9,120.1,115.2,0,0,NaN,
0500,0.6,95.5,14.5,22.6,110.2,105.2,0,0,NaN,
0520,1105.1,101.1,22108.6,20,134.2,135.3,0,0,NaN,
0750,13.8,92.3,4989.5,362.4,103.4,95.4,0,0,NaN,
1250,1263.9,96.6,208688.2,165.1,105.5,102,0,0,NaN,
1320,NaN,NaN,85168.6,NaN,NaN,104.5,0,0,NaN,
1321,421.9,100.2,81254.9,192.6,105.1,105.2,0,0,NaN,
1322,NaN,NaN,3913.7,NaN,NaN,91.8,0,0,NaN,
2180,170.5,92.3,50451.6,296,102.5,94.6,0,0,NaN,
2230,16.9,96.2,3653.3,216.1,103.2,99.3,0,0,NaN,
7260,NaN,NaN,17235.5,NaN,NaN,103.9,0,0,NaN,
3200,NaN,NaN,16016,NaN,NaN,103.6,0,0,NaN,
3480,NaN,NaN,1219.5,NaN,NaN,106.6,0,0,NaN,
3770,NaN,NaN,1624,NaN,NaN,89.3,0,0,NaN,
