oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,2179.8,156.3,2162.1,17.7,101.1,157,NaN,NaN,NaN,
Волинська,1573.1,111.1,1573.1,NaN,NaN,111.3,NaN,NaN,NaN,
Дніпропетровська,1971.7,65,1966.2,5.5,67.4,65,NaN,NaN,NaN,
Донецька,92.1,9.9,92.1,NaN,NaN,9.9,NaN,NaN,NaN,
Житомирська,1120.5,101.3,1117.6,2.9,99.2,101.3,NaN,NaN,NaN,
Закарпатська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Запорізька,1796.3,92.4,1784.3,12,74.9,92.5,NaN,NaN,NaN,
Івано-Франківська,681.4,109.3,681.4,NaN,NaN,109.3,NaN,NaN,NaN,
Київська,1018.9,151,1011.5,7.4,116.6,151.3,NaN,NaN,NaN,
Кіровоградська,721.4,68.8,688.4,33,112.8,67.5,NaN,NaN,NaN,
Луганська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Львівська,1769.1,102.4,1769.1,NaN,NaN,102.4,NaN,NaN,NaN,
Миколаївська,1580.9,120.3,1526.6,54.3,144.2,119.6,NaN,NaN,NaN,
Одеська,3008.4,241.9,2973.1,35.3,135.1,244.1,NaN,NaN,NaN,
Полтавська,361.2,514.7,356.8,4.4,128.5,534.3,NaN,NaN,NaN,
Рівненська,864,98.7,864,NaN,NaN,98.7,NaN,NaN,NaN,
Сумська,711.3,189.9,711.3,NaN,NaN,189.9,NaN,NaN,NaN,
Тернопільська,2558.7,140.4,2558.7,NaN,NaN,140.4,NaN,NaN,NaN,
Харківська,85.7,25.8,85.7,NaN,NaN,25.8,NaN,NaN,NaN,
Херсонська,2471.9,123.7,2359.9,112,111.8,124.4,NaN,NaN,NaN,
Хмельницька,3012,143.5,2990.9,21.1,124,143.7,NaN,NaN,NaN,
Черкаська,534.3,157.2,524.9,9.4,117.9,158.1,NaN,NaN,NaN,
Чернівецька,320.8,82.3,320.8,NaN,NaN,82.3,NaN,NaN,NaN,
Чернігівська,1157.5,135.3,1157.5,NaN,NaN,135.3,NaN,NaN,NaN,
