oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,65.5,159.5,60.3,5.2,99.5,168.2,NaN,NaN,NaN,
Волинська,36.5,234.6,36.5,NaN,NaN,272.1,NaN,NaN,NaN,
Дніпропетровська,127.9,211.2,127.9,NaN,NaN,211.2,NaN,NaN,NaN,
Донецька,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Житомирська,69.1,103.8,69.1,NaN,NaN,103.8,NaN,NaN,NaN,
Закарпатська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Запорізька,40.7,255.1,40.7,NaN,NaN,255.1,NaN,NaN,NaN,
Івано-Франківська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Київська,44.4,83.6,42.9,1.5,168.8,82.1,NaN,NaN,NaN,
Кіровоградська,22.6,203.5,21.7,0.9,NaN,195.2,NaN,NaN,NaN,
Луганська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Львівська,68.4,137.2,68.4,NaN,NaN,137.2,NaN,NaN,NaN,
Миколаївська,23.9,66.5,23.9,NaN,NaN,66.5,NaN,NaN,NaN,
Одеська,46.5,825,46.5,NaN,NaN,825,NaN,NaN,NaN,
Полтавська,20.2,115,19.7,0.5,96.9,115.6,NaN,NaN,NaN,
Рівненська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Сумська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Тернопільська,19.9,48.2,19.9,NaN,NaN,48.2,NaN,NaN,NaN,
Харківська,0.9,24,0.9,NaN,NaN,24,NaN,NaN,NaN,
Херсонська,10.3,51.7,10.3,NaN,NaN,51.7,NaN,NaN,NaN,
Хмельницька,41.1,121.9,37.3,3.8,120.4,122.1,NaN,NaN,NaN,
Черкаська,33.2,61.6,30.6,2.6,138.9,58.7,NaN,NaN,NaN,
Чернівецька,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Чернігівська,23.8,111.4,23.8,NaN,NaN,111.4,NaN,NaN,NaN,
