oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,46.7,63.9,43.6,3.1,106.2,62.1,0,NaN,NaN,
Волинська,16.7,46.3,16.7,NaN,NaN,46.3,0,NaN,NaN,
Дніпропетровська,181.8,113.7,106.7,75.1,113.1,114,0,NaN,NaN,
Донецька,176,170.9,78.3,97.7,225.6,131.3,0,NaN,NaN,
Житомирська,70.5,42.2,59.5,11,171.5,37,0,NaN,NaN,
Закарпатська,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,
Запорізька,144.1,70.3,128.6,15.5,147.2,66.1,0,NaN,NaN,
Івано-Франківська,0.2,9.1,0.2,NaN,NaN,9.1,0,NaN,NaN,
Київська,77.7,51.1,69.5,8.2,100,48.3,0,NaN,NaN,
Кіровоградська,66.2,93.6,46.2,20,107.4,88.7,0,NaN,NaN,
Луганська,27.8,45.9,26,1.8,96.2,44.2,0,NaN,NaN,
Львівська,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,
Миколаївська,176.1,145,91.6,84.5,161.4,132.7,0,NaN,NaN,
Одеська,252.5,120.3,239.6,12.9,300.2,116.6,0,NaN,NaN,
Полтавська,138.3,80.1,125.3,13,87.5,79.5,0,NaN,NaN,
Рівненська,4.1,16.7,4.1,NaN,NaN,16.7,0,NaN,NaN,
Сумська,27.3,25.2,23.1,4.2,71,22.5,0,NaN,NaN,
Тернопільська,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,
Харківська,245.2,71.7,180.6,64.6,120.2,62.7,0,NaN,NaN,
Херсонська,214.8,104.5,63.5,151.3,164.3,56,0,NaN,NaN,
Хмельницька,11.6,44.6,11.5,0.1,66.4,44.4,0,NaN,NaN,
Черкаська,78,85.8,76.8,1.2,102.9,85.6,0,NaN,NaN,
Чернівецька,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,
Чернігівська,95.8,41.7,95.1,0.7,140.6,41.5,0,NaN,NaN,
