oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,10376.3,132.2,10010.8,365.5,149.7,131.6,NaN,NaN,NaN,
Волинська,1009.2,98.4,1008.7,0.5,151.7,98.4,NaN,NaN,NaN,
Дніпропетровська,14032.6,139,12035,1997.6,169.8,135,NaN,NaN,NaN,
Донецька,7985.6,136.7,6550.1,1435.5,125.1,139.6,NaN,NaN,NaN,
Житомирська,3629.3,109.7,3293.3,336,88.6,112.4,NaN,NaN,NaN,
Закарпатська,55.1,91.1,46.8,8.3,79.3,93.6,NaN,NaN,NaN,
Запорізька,10583.8,125.2,8348.3,2235.5,103.8,132.5,NaN,NaN,NaN,
Івано-Франківська,921.5,138.6,918.1,3.4,98.5,138.8,NaN,NaN,NaN,
Київська,6279.3,141.4,6218,61.3,136,141.5,NaN,NaN,NaN,
Кіровоградська,15903.9,153.9,12007.4,3896.5,163,151.2,NaN,NaN,NaN,
Луганська,7581.4,112,6295.3,1286.1,115.1,111.4,NaN,NaN,NaN,
Львівська,1003.7,122.5,1003.7,NaN,NaN,122.5,NaN,NaN,NaN,
Миколаївська,11237.5,161.9,7892.3,3345.2,180.8,155.1,NaN,NaN,NaN,
Одеська,9522,201.2,8014.8,1507.2,175.2,207,NaN,NaN,NaN,
Полтавська,9766.9,98.6,8689,1077.9,93.8,99.3,NaN,NaN,NaN,
Рівненська,1002.6,100.9,1002.6,NaN,NaN,100.9,NaN,NaN,NaN,
Сумська,8211.4,91.3,8008.2,203.2,94.3,91.2,NaN,NaN,NaN,
Тернопільська,2751.8,96.7,2751.8,NaN,NaN,96.7,NaN,NaN,NaN,
Харківська,14300.9,105.4,12932,1368.9,114.3,104.6,NaN,NaN,NaN,
Херсонська,6730,126.1,4334.6,2395.4,122.4,128.3,NaN,NaN,NaN,
Хмельницька,5180.4,92.5,5162.9,17.5,139.4,92.4,NaN,NaN,NaN,
Черкаська,8272.3,154.9,7830.8,441.5,145.8,155.4,NaN,NaN,NaN,
Чернівецька,641.6,122.5,520.9,120.7,108,126.4,NaN,NaN,NaN,
Чернігівська,7419.3,106,7414.4,4.9,49.6,106.1,NaN,NaN,NaN,
