oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,15948.8,83.6,25.7,15923.1,83.6,108.7,0,NaN,NaN,
Волинська,12095.1,100.7,82.4,12012.7,100.4,173.7,0,NaN,NaN,
Дніпропетровська,7059.8,151.9,584.3,6475.5,153,141.1,0,NaN,NaN,
Донецька,4613.7,110.1,20.3,4593.4,110.5,62.4,0,NaN,NaN,
Житомирська,18782.3,106.1,468.4,18313.9,105.9,114.4,0,NaN,NaN,
Закарпатська,4822.8,101,NaN,NaN,NaN,NaN,0,NaN,NaN,
Запорізька,2220.2,124.9,4.5,2215.7,124.8,348,0,NaN,NaN,
Івано-Франківська,10239.8,102.5,20.8,10219,102.5,105.6,0,NaN,NaN,
Київська,15095,97.4,386.6,14708.4,96.9,124.7,0,NaN,NaN,
Кіровоградська,5319.7,103.2,2.1,5317.6,103.2,191.5,0,NaN,NaN,
Луганська,2013.7,83.1,NaN,NaN,NaN,NaN,0,NaN,NaN,
Львівська,16796.4,104.8,772,16024.4,103.3,152,0,NaN,NaN,
Миколаївська,3106,150.4,41.2,3064.8,150.3,156.2,0,NaN,NaN,
Одеська,3309.7,91.5,28.7,3281,91.2,141.6,0,NaN,NaN,
Полтавська,10818.1,107.7,100.1,10718,107.8,103.7,0,NaN,NaN,
Рівненська,12973.5,100.9,39.2,12934.3,100.7,233.2,0,NaN,NaN,
Сумська,7960.7,88.3,62.5,7898.2,88.2,108.4,0,NaN,NaN,
Тернопільська,10441,114.3,280,10161,115.3,85.5,0,NaN,NaN,
Харківська,6625.2,93,6.2,6619,92.9,131.6,0,NaN,NaN,
Херсонська,4264.7,151.7,276.7,3988,155.5,112,0,NaN,NaN,
Хмельницька,11693.2,91.4,40.8,11652.4,91.3,121.8,0,NaN,NaN,
Черкаська,9052.6,124.3,248.2,8804.4,125.3,95.2,0,NaN,NaN,
Чернівецька,6363.9,106.6,12.1,6351.8,106.5,189.5,0,NaN,NaN,
Чернігівська,11379.2,90.4,802.4,10576.8,91.6,77.4,0,NaN,NaN,
